country,2011,2012,2013,2014,2015,2016,2017
Afghanistan,9.01,,,9.96,,,14.9
Albania,28.3,,,38,,,40
Algeria,33.3,,,50.5,,,42.8
Angola,39.2,,,29.3,,,
Argentina,33.1,,,50.2,,,48.7
Armenia,17.5,,,17.7,,,47.8
Australia,99.1,,,98.9,,,99.5
Austria,97.1,,,96.7,,,98.2
Azerbaijan,14.9,,,29.2,,,28.6
Bahrain,64.5,,,81.9,,,82.6
Bangladesh,31.7,,,31,,,50
Belarus,58.6,,,72,,,81.2
Belgium,96.3,,,98.1,,,98.6
Belize,,,,48.2,,,
Benin,10.5,,,16.6,,,38.5
Bhutan,,,,33.7,,,
Bolivia,28,,,41.8,,,54.4
Bosnia and Herzegovina,56.2,,,52.7,,,58.8
Botswana,30.3,,,52,,,51
Brazil,55.9,,,68.1,,,70
Bulgaria,52.8,,,63,,,72.2
Burkina Faso,13.4,,,14.4,,,43.2
Burundi,7.24,,,7.11,,,
Cambodia,3.66,,,22.2,,,21.7
Cameroon,14.8,,,12.2,,,34.6
Canada,95.8,,,99.1,,,99.7
Central African Republic,3.3,,,,,,13.7
Chad,8.96,,,12.4,,,21.8
Chile,42.2,,,63.3,,,74.3
China,63.8,,,78.9,,,80.2
Colombia,30.4,,,39,,,45.8
Comoros,21.7,,,,,,
"Congo, Dem. Rep.",3.7,,,17.5,,,25.8
"Congo, Rep.",10,,,17.1,,,26.1
Costa Rica,50.4,,,64.6,,,67.8
Cote d'Ivoire,,,,34.3,,,41.3
Croatia,88.4,,,86,,,86.1
Cyprus,85.2,,,90.2,,,88.7
Czech Republic,80.7,,,82.2,,,81
Denmark,99.7,,,100,,,99.9
Djibouti,12.3,,,,,,
Dominican Republic,38.2,,,54.1,,,56.2
Ecuador,36.7,,,46.2,,,51.2
Egypt,9.72,,,14.1,,,32.8
El Salvador,13.8,,,36.7,,,30.4
Estonia,96.8,,,97.7,,,98
Ethiopia,,,,21.8,,,34.8
Finland,99.7,,,100,,,99.8
France,97,,,96.6,,,94
Gabon,18.9,,,33,,,58.6
Georgia,33,,,39.7,,,61.2
Germany,98.1,,,98.8,,,99.1
Ghana,29.4,,,40.5,,,57.7
Greece,77.9,,,87.5,,,85.5
Guatemala,22.3,,,41.3,,,44.1
Guinea,3.69,,,6.96,,,23.5
Haiti,22,,,18.9,,,32.6
Honduras,20.5,,,31.5,,,45.3
Hungary,72.7,,,72.3,,,74.9
India,35.2,,,53.1,,,79.9
Indonesia,19.6,,,36.1,,,48.9
Iran,73.7,,,92.3,,,94
Iraq,10.6,,,11,,,22.7
Ireland,93.9,,,94.7,,,95.3
Israel,90.5,,,90,,,92.8
Italy,71,,,87.3,,,93.8
Jamaica,71,,,78.5,,,
Japan,96.4,,,96.6,,,98.2
Jordan,25.5,,,24.6,,,42.5
Kazakhstan,42.1,,,53.9,,,58.7
Kenya,42.3,,,74.7,,,81.6
Kuwait,86.8,,,72.9,,,79.8
Kyrgyz Republic,3.76,,,18.5,,,39.9
Lao,26.8,,,,,,29.1
Latvia,89.7,,,90.2,,,93.2
Lebanon,37,,,46.9,,,44.8
Lesotho,18.5,,,,,,45.6
